trip_id,distance_km,load_weight_kg,fuel_efficiency_kmpl,average_speed_kmh,fuel_used_liters
1,278,1319,8.84,42.24,30.71
2,259,18370,5.89,51.1,49.71
3,497,8123,7.77,31.33,67.08
4,1166,14246,6.49,59.46,215.61
5,63,5731,8.64,47.01,7.44
6,739,3849,5.92,34.84,134.14
7,591,1923,8.78,56.81,72.83
8,825,3082,7.98,71.47,112.46
9,790,6800,8.67,32.29,94.67
10,642,3114,9.35,73.32,73.22
11,978,12454,6.23,47.76,179.54
12,196,6107,7.9,42.24,26.23
13,602,18750,6.49,46.21,113.11
14,164,8005,9.2,70.25,19.83
15,185,7413,9.61,58.36,21.48
16,485,16858,7.28,75.73,81.52
17,592,5075,6.61,58.07,93.36
18,927,13587,7.13,79.87,150.84
19,1060,3478,8.9,73.06,124.45
20,377,14333,8.18,49.24,53.2
21,1008,17838,6.63,57.66,189.95
22,284,18095,8.88,68.43,38.54
23,651,14746,6.21,30.16,122.96
24,589,16903,8.93,55.38,74.87
25,661,17135,8.24,37.64,96.43
26,1154,17878,9.63,59.95,143.9
27,279,12394,9.45,71.58,33.95
28,168,8392,9.45,77.35,19.48
29,1045,2767,9.9,56.64,105.8
30,1023,18515,6.24,56.38,198.87
31,483,18171,8.9,64.49,67.39
32,867,12736,7.47,55.88,127.37
33,510,2598,7.02,59.42,73.89
34,501,735,5.82,61.56,86.32
35,114,11327,5.82,41.9,22.17
36,488,18169,6.1,76.78,100.31
37,1018,8462,9.03,70.37,123.32
38,248,14624,7.09,50.56,41.6
39,160,3724,5.77,66.41,30.6
40,273,8647,6.36,56.81,45.57
41,425,9627,7.58,73.72,61.65
42,1177,3708,5.73,79.96,233.38
43,241,8245,6.25,54.28,40.89
44,871,2421,6.24,30.11,141.4
45,981,9847,7.4,77.87,161.35
46,1188,16447,6.2,44.84,233.59
47,1160,2497,8.87,32.86,135.17
48,1079,17903,6.21,78.04,207.26
49,430,2745,8.18,63.76,54.03
50,295,8567,8.11,31.99,37.84
51,1120,10866,9.71,40.21,130.64
52,538,9203,7.28,63.58,81.24
53,697,2877,5.54,61.06,133.13
54,254,2900,7.92,55.29,32.12
55,764,2754,9.46,48.48,80.15
56,1162,10412,8.25,79.36,167.18
57,66,18673,6.85,63.17,12.25
58,325,9166,6.02,35.35,59.25
59,607,9732,8.22,65.88,81.13
60,590,17061,7.7,75.27,97.49
61,239,14379,9.23,32.2,29.12
62,317,9083,6.23,52.09,56.88
63,1198,816,6.0,77.25,216.32
64,355,18377,5.66,48.46,74.64
65,930,4676,5.69,48.23,178.5
66,131,12224,6.45,42.48,21.89
67,1196,13816,9.88,67.47,148.66
68,534,5824,9.89,70.54,61.75
69,100,6377,8.81,46.61,12.59
70,558,9242,6.22,65.06,99.77
71,129,15923,6.5,70.83,23.87
72,675,7957,6.5,63.0,113.86
73,620,2774,9.85,43.96,65.61
74,868,18070,6.99,31.38,152.14
75,584,6351,8.11,79.18,77.31
76,939,11827,8.78,45.68,120.87
77,1097,4289,7.23,58.83,157.08
78,943,555,7.84,70.33,128.22
79,453,12434,7.44,77.44,75.25
80,692,4583,8.74,45.02,81.23
81,886,11188,7.31,44.78,129.74
82,911,12923,8.55,75.14,127.83
83,666,13806,7.97,30.02,93.07
84,930,11059,7.59,52.11,132.74
85,1019,6060,8.46,44.19,129.84
86,736,3560,9.18,67.56,87.43
87,510,7025,6.16,32.31,92.9
88,199,15423,7.36,61.49,30.95
89,836,16699,7.3,37.38,136.15
90,268,14431,6.48,70.21,50.2
91,1001,2145,8.01,75.87,129.17
92,323,15725,8.5,79.39,47.0
93,956,17040,7.42,75.34,157.58
94,375,16054,7.53,67.59,61.86
95,617,17581,7.68,41.96,93.89
96,635,8183,6.72,45.99,102.64
97,333,5442,6.54,64.7,56.41
98,181,14094,7.33,57.13,28.33
99,473,14267,7.25,68.49,80.75
100,90,12964,7.65,77.14,13.73
101,848,14230,7.92,66.73,130.19
102,501,16498,6.49,51.79,86.0
103,738,13748,8.76,72.03,104.25
104,1143,1383,9.58,59.59,125.29
105,221,14544,6.11,53.08,39.81
106,826,11226,6.45,46.34,146.16
107,826,9617,8.88,71.6,103.73
108,217,15911,5.59,56.97,47.9
109,766,7847,8.43,69.06,103.28
110,113,8602,6.4,31.02,18.51
111,308,16017,8.51,58.2,41.47
112,574,12587,6.26,60.36,107.99
113,284,5866,9.84,35.4,29.11
114,688,12798,7.28,65.75,105.3
115,547,3839,8.64,45.08,66.95
116,297,1845,7.06,51.42,42.41
117,1086,11681,5.56,51.0,218.36
118,937,12368,8.36,71.44,134.07
119,941,6271,8.8,78.27,117.3
120,1152,16343,7.59,71.29,185.81
121,710,8544,9.24,34.33,86.59
122,549,15727,8.06,63.41,79.62
123,1062,11150,6.32,40.61,192.34
124,747,9663,9.46,65.06,87.21
125,70,17428,9.77,34.28,8.6
126,1050,18692,8.91,64.53,146.04
127,1055,15185,9.07,34.65,130.25
128,548,10533,8.49,48.45,71.73
129,754,14442,9.98,57.52,86.46
130,979,9377,6.88,41.53,159.08
131,696,4417,8.84,77.54,88.39
132,442,7590,8.82,43.82,54.4
133,1124,9773,9.91,71.63,127.24
134,789,6379,6.86,65.4,121.41
135,143,2286,7.99,64.87,18.15
136,1055,3861,9.43,58.7,117.86
137,952,11664,6.33,32.57,175.34
138,1028,4238,9.2,50.04,111.52
139,159,5471,6.17,58.14,27.08
140,558,4381,8.01,50.81,73.53
141,512,17623,7.21,75.43,86.0
142,928,10506,8.06,33.01,133.09
143,253,7308,8.31,43.23,31.3
144,541,6195,7.98,37.83,71.34
145,1012,10043,5.65,44.41,192.82
146,979,2832,8.59,76.2,126.89
147,455,14430,6.02,41.24,83.45
148,594,5160,5.82,38.3,105.26
149,641,14890,6.06,64.43,127.53
150,607,16899,7.93,51.89,90.7
151,934,11061,8.22,31.29,122.77
152,92,9331,8.09,68.16,12.47
153,1112,14990,9.62,39.07,134.05
154,1057,3489,7.62,50.42,141.1
155,264,5769,6.98,64.68,40.31
156,870,18525,5.67,34.4,177.36
157,287,13744,9.39,71.25,34.43
158,1161,15638,7.36,39.38,179.89
159,1070,14984,8.92,40.18,138.61
160,639,14856,9.46,54.24,74.55
161,540,5689,6.9,30.68,81.95
162,510,4217,7.58,35.87,72.45
163,1070,10063,7.79,43.67,156.24
164,1017,8486,7.56,37.23,141.42
165,1090,4973,9.39,43.81,125.39
166,899,11637,9.7,55.39,107.93
167,629,10283,9.27,59.0,77.4
168,354,15132,7.92,47.26,51.73
169,1162,12860,7.55,46.09,168.29
170,539,13049,6.55,68.78,92.12
171,1018,12992,7.24,63.18,168.29
172,361,16730,9.84,36.31,44.82
173,729,3788,9.43,52.02,80.77
174,985,1002,8.75,50.5,115.57
175,366,2951,7.61,78.46,51.49
176,864,3131,9.33,72.62,103.41
177,828,10876,8.32,74.37,115.58
178,1158,1676,8.28,41.74,144.82
179,638,7954,8.86,51.7,74.87
180,255,15038,6.25,44.97,44.72
181,714,2338,6.82,48.74,103.34
182,1137,14002,8.05,69.63,161.82
183,211,13035,8.29,42.04,29.96
184,343,8108,7.58,42.7,47.72
